Value,Parameter,Sub_Type
618350,Type,Number of Dugwell-Pucca
80227,Type,Number of Dugwell-Kutcha
176594,Type,Number of Dugwell-Dug-cum bore well
443,Type,Number of Dugwell-Others
832503,Distribution by Status of Utilisation,Dugwells in use
21838,Distribution by Status of Utilisation,Dugwells not in use - Temporary
21273,Distribution by Status of Utilisation,Dugwells not in use - Parmanent
325951,Distribution according to Water Distribution System and Potential Utilised,Dugwell Open Water - Total No
836869.51,Distribution according to Water Distribution System and Potential Utilised,Dugwell Open Water - Total PU
63726,Distribution according to Water Distribution System and Potential Utilised,Dugwell Under ground pipe - No.
182053.66,Distribution according to Water Distribution System and Potential Utilised,Dugwell Under ground pipe - PU
300219,Distribution according to Water Distribution System and Potential Utilised,Dugwell Surface pipe - No.
935093.97,Distribution according to Water Distribution System and Potential Utilised,Dugwell Surface pipe - PU
4936,Distribution according to Water Distribution System and Potential Utilised,Dugwell Drip - No.
12837.65,Distribution according to Water Distribution System and Potential Utilised,Dugwell Drip - PU
137039,Distribution according to Water Distribution System and Potential Utilised,Dugwell Sprinkler - No.
718842.3,Distribution according to Water Distribution System and Potential Utilised,Dugwell Sprinkler - PU
632,Distribution according to Water Distribution System and Potential Utilised,Dugwell Others - No.
1500.91,Distribution according to Water Distribution System and Potential Utilised,Dugwell Others - PU
832503,Distribution according to Water Distribution System and Potential Utilised,Dugwell TOTAL - NUMBER
2687198,Distribution according to Water Distribution System and Potential Utilised,Dugwell TOTAL - POTENTIAL UTILISED
2091,"Distribution  (In Use, Temporarily Not In Use ) according to Horse Power of Lifting Devices",No. of Dugwell by horse power of lifting devices - 0-2 HP
52199,"Distribution  (In Use, Temporarily Not In Use ) according to Horse Power of Lifting Devices",No. of Dugwell by horse power of lifting devices - 2-4 HP
322206,"Distribution  (In Use, Temporarily Not In Use ) according to Horse Power of Lifting Devices",No. of Dugwell by horse power of lifting devices - 4-6 HP
115614,"Distribution  (In Use, Temporarily Not In Use ) according to Horse Power of Lifting Devices",No. of Dugwell by horse power of lifting devices - 6-8 HP
125579,"Distribution  (In Use, Temporarily Not In Use ) according to Horse Power of Lifting Devices",No. of Dugwell by horse power of lifting devices - 8-10 HP
205627,"Distribution  (In Use, Temporarily Not In Use ) according to Horse Power of Lifting Devices",No. of Dugwell by horse power of lifting devices - Above 10 HP
21674,"Distribution  (In Use, Temporarily Not In Use ) according to Horse Power of Lifting Devices",No. of Dugwell by horse power of lifting devices - Schemes without horse power
779490,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Kharif Season - <200 hrs
27179,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Kharif Season - 200-400 hrs
10800,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Kharif Season - 400-600
4324,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Kharif Season - 600-800 hrs
904,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Kharif Season - 800-1000 hrs
619,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Kharif Season - >=1000 hrs
290889,"Distribution  (In Use, Temporarily Not In Use ) according to total Hours of Pumping Operation",Through Dugwell During Rabi season - <200 hrs
